house_id,house_location,house_type,fp_seg_num,fp_perimeter_len,seg_numTOunique_lengths,fp_avg_seg_len_3long,fp_avg_seg_len_3short,ratio_3lngTO3hrt,footprint_area,boundingbox_area,bbTOfp_ratio,bb_0_180_axis_len,bb_90_270_axis_len,bb_lngTOshrt_ratio,roof_srf_num,ratio_flat,ratio_0*,ratio_90*,ratio_180*,ratio_270*
32,Moreton_Bay_Mixed,R1,10,49.993364,0.9,7.571057,2.331776,3.246906,121.795135,156.208079,1.282548,12.477122,12.51956,1.003401,3,0.164242,0,0.435812,0,0.399946
33,Moreton_Bay_Mixed,R1,6,44.093943,1,9.925839,4.772142,2.079955,106.708414,118.754145,1.112885,9.36123,12.685742,1.355136,2,0,0.458929,0,0.541071,0
34,Moreton_Bay_Mixed,R1,8,51.933123,0.75,10.681751,1.972311,5.415855,146.180932,163.459961,1.118203,15.242841,10.72372,1.421414,3,0.158569,0,0.414577,0,0.426854
35,Moreton_Bay_Mixed,R1,6,43.779871,1,9.901098,4.692193,2.110122,108.507132,115.452677,1.06401,8.861787,13.028149,1.470149,2,0,0.482385,0,0.517615,0
36,Moreton_Bay_Mixed,R1,9,49.270426,0.888889,7.737224,2.639451,2.931377,122.04186,151.692712,1.242956,12.492881,12.142333,1.02887,3,0.15918,0,0.398923,0,0.441897
37,Moreton_Bay_Mixed,R1,8,77.04141,0.75,15.813477,4.088602,3.867698,259.439757,292.657793,1.128038,10.411433,28.109272,2.699847,3,0.072876,0.447851,0,0.479272,0
38,Moreton_Bay_Mixed,R1,6,43.113094,1,9.750143,4.620888,2.110015,105.721262,112.118083,1.060506,12.791504,8.765043,1.459377,2,0,0,0.434457,0,0.565543
39,Moreton_Bay_Mixed,R1,8,47.070572,0.75,9.385839,2.623845,3.577132,117.506356,138.476273,1.178458,11.733765,11.801521,1.005774,3,0.178659,0.410068,0,0.411273,0
40,Moreton_Bay_Mixed,R1,8,51.662475,0.75,10.821328,2.178785,4.96668,132.324644,162.551284,1.228428,10.851177,14.980061,1.380501,3,0.106785,0.464319,0,0.428896,0
41,Moreton_Bay_Mixed,R1,8,65.013511,0.75,14.345871,3.738118,3.837726,233.000663,260.999143,1.120165,18.034711,14.472045,1.246176,2,0,0,0.505638,0,0.494362
42,Moreton_Bay_Mixed,R1,8,52.72743,0.75,10.606441,2.574933,4.119113,147.581939,172.812421,1.170959,12.20772,14.155994,1.159594,5,0.152871,0.292992,0.119711,0.292013,0.142414
43,Moreton_Bay_Mixed,R1,8,66.175733,0.75,14.726285,3.499824,4.207722,245.321249,271.65168,1.10733,17.975733,15.112134,1.18949,2,0,0,0.520899,0,0.479101
44,Moreton_Bay_Mixed,R1,8,64.742716,0.75,14.325344,3.436501,4.168584,235.314363,259.508055,1.102814,17.756714,14.614644,1.214995,2,0,0,0.5154,0,0.4846
45,Moreton_Bay_Mixed,R1,10,53.990127,0.9,7.738669,2.379484,3.252247,137.553446,180.913723,1.315225,12.370747,14.624317,1.182169,3,0.233478,0,0.379742,0,0.377093
46,Moreton_Bay_Mixed,R1,6,44.3996,1,10.25999,4.539877,2.259971,115.40397,121.567648,1.05341,9.819224,12.380576,1.260851,2,0,0.522302,0,0.477698,0
47,Moreton_Bay_Mixed,R1,6,51.469315,1,12.223273,4.933165,2.477775,134.931386,154.491121,1.144961,9.539112,16.195545,1.697804,2,0,0.504461,0,0.495539,0
48,Moreton_Bay_Mixed,R1,6,42.357861,1,9.714238,4.405049,2.205251,102.733414,110.137651,1.072072,9.175562,12.003368,1.308189,2,0,0.484783,0,0.515217,0
49,Moreton_Bay_Mixed,R1,8,50.536955,0.75,9.917339,2.624936,3.778125,130.045163,154.251778,1.18614,14.952043,10.316435,1.449342,3,0.149181,0,0.393852,0,0.456968
50,Moreton_Bay_Mixed,R1,8,53.461458,0.75,10.509686,3.264832,3.219059,141.768976,175.454803,1.237611,15.148105,11.582624,1.30783,3,0.124842,0,0.410284,0,0.464873
51,Moreton_Bay_Mixed,R1,8,52.2413,0.75,10.47755,2.900401,3.612448,144.502167,167.253976,1.15745,14.881895,11.238756,1.324159,3,0.147741,0,0.373408,0,0.478852
52,Moreton_Bay_Mixed,R1,6,71.035599,1,15.89984,7.778693,2.044025,263.975103,287.729818,1.089988,12.500697,23.017103,1.841266,2,0,0.543684,0,0.456316,0
53,Moreton_Bay_Mixed,R1,6,44.019006,1,9.951676,4.721326,2.107814,109.911444,118.023057,1.073801,12.760171,9.249332,1.379578,2,0,0,0.460807,0,0.539193
