house_id,house_location,house_type,ridges,fp_seg_num,fp_perimeter_len,seg_numTOunique_lengths,fp_avg_seg_len_3long,fp_avg_seg_len_3short,ratio_3lngTO3hrt,footprint_area,boundingbox_area,bbTOfp_ratio,bb_0_180_axis_len,bb_90_270_axis_len,bb_lngTOshrt_ratio,roof_srf_num,ratio_flat,ratio_0,ratio_90,ratio_180,ratio_270
136,Moreton_Bay_Mixed,R2,2,8,42.39,1,8.49,2.3,3.7,92.78,109.93,1.18,12.15,9.05,1.34,7,0,0.18,0.28,0.19,0.35
137,Moreton_Bay_Mixed,R2,2,8,42.69,1,8.59,2.52,3.4,95.76,111.72,1.17,12.15,9.2,1.32,8,0,0.21,0.26,0.19,0.33
138,Moreton_Bay_Mixed,R2,2,8,42.69,1,8.46,2.38,3.56,93.99,111.86,1.19,12.1,9.25,1.31,7,0,0.18,0.29,0.21,0.32
139,Moreton_Bay_Mixed,R2,2,10,61.43,0.9,10.15,1.95,5.2,194.85,235.57,1.21,14.84,15.87,1.07,9,0.13,0.21,0.23,0.22,0.2
140,Moreton_Bay_Mixed,R2,2,10,67.57,0.9,12.51,2.28,5.48,241.67,276.88,1.15,19.8,13.99,1.42,6,0.09,0.13,0.28,0.12,0.37
141,Moreton_Bay_Mixed,R2,2,10,66.34,0.9,10.15,3.25,3.13,202,273.27,1.35,15.24,17.93,1.18,6,0.09,0.26,0.23,0.23,0.19
142,Moreton_Bay_Mixed,R2,2,10,57.41,0.9,10.6,1.56,6.78,173.65,196.7,1.13,17.4,11.3,1.54,9,0.13,0.16,0.29,0.18,0.24
143,Moreton_Bay_Mixed,R2,2,10,67.86,0.9,11.63,1.6,7.28,233.14,287.74,1.23,17.28,16.65,1.04,8,0.04,0.21,0.25,0.28,0.22
144,Moreton_Bay_Mixed,R2,2,12,65.45,0.75,8.69,2.19,3.96,197.43,264.31,1.34,14.5,18.23,1.26,9,0.14,0.26,0.16,0.3,0.14
145,Moreton_Bay_Mixed,R2,2,10,59.37,0.9,10.22,1.76,5.8,184.59,220.28,1.19,15.01,14.68,1.02,9,0.07,0.21,0.25,0.22,0.24
146,Moreton_Bay_Mixed,R2,2,10,66.29,0.9,11.1,0.67,16.49,257.05,274.33,1.07,17.16,15.99,1.07,6,0.19,0.3,0.17,0.17,0.16
147,Moreton_Bay_Mixed,R2,2,10,71.17,0.9,10.82,2.96,3.66,214.11,315.08,1.47,19.02,16.56,1.15,7,0.09,0.23,0.24,0.24,0.19
148,Moreton_Bay_Mixed,R2,2,8,70.49,0.75,12.59,5.52,2.28,215.92,309.42,1.43,16.56,18.69,1.13,5,0,0.23,0.32,0.22,0.23
149,Moreton_Bay_Mixed,R2,2,10,66.25,0.9,10.36,3.17,3.27,202.49,273.07,1.35,17.68,15.45,1.14,7,0.08,0.18,0.31,0.17,0.26
150,Moreton_Bay_Mixed,R2,2,10,64.74,1,11.23,2.2,5.11,212.38,261.77,1.23,15.72,16.65,1.06,9,0.08,0.23,0.24,0.24,0.21
151,Moreton_Bay_Mixed,R2,2,6,64.82,1,13.67,7.94,1.72,192.44,262.4,1.36,16.65,15.76,1.06,6,0,0.24,0.25,0.25,0.26
152,Moreton_Bay_Mixed,R2,2,7,56.85,0.71,10.71,5.72,1.87,181.99,201.62,1.11,14.84,13.59,1.09,9,0.11,0.21,0.25,0.21,0.22
153,Moreton_Bay_Mixed,R2,2,10,66.37,0.9,10.29,3.44,2.99,200.02,274.64,1.37,17.41,15.77,1.1,7,0.1,0.17,0.3,0.17,0.26
154,Moreton_Bay_Mixed,R2,2,10,63.62,1,11.04,2.1,5.26,204.03,252.82,1.24,15.52,16.29,1.05,9,0.08,0.24,0.23,0.24,0.21
155,Moreton_Bay_Mixed,R2,2,10,69.68,0.9,10.6,2.88,3.68,203.81,302.58,1.48,16.49,18.35,1.11,7,0.09,0.22,0.23,0.25,0.21
156,Moreton_Bay_Mixed,R2,2,10,70.31,0.9,10.72,3.13,3.43,208.33,308.27,1.48,16.75,18.4,1.1,7,0.08,0.22,0.25,0.23,0.22
157,Moreton_Bay_Mixed,R2,2,10,63.64,1,11.02,2.1,5.24,205.46,253.02,1.23,15.62,16.2,1.04,9,0.09,0.22,0.25,0.23,0.2
158,Moreton_Bay_Mixed,R2,2,10,63.93,1,11.04,2.17,5.09,205.97,255.34,1.24,15.71,16.25,1.03,9,0.09,0.21,0.23,0.27,0.2
159,Moreton_Bay_Mixed,R2,2,8,63.76,1,13.51,2.97,4.55,218.59,254.11,1.16,15.99,15.89,1.01,5,0.1,0.25,0.29,0.17,0.19
160,Moreton_Bay_Mixed,R2,2,10,71.43,1,13.33,1.41,9.46,277.88,313.76,1.13,20.13,15.59,1.29,6,0.11,0.16,0.28,0.11,0.34
161,Moreton_Bay_Mixed,R2,2,8,61.57,1,13.27,3.39,3.91,196.12,235.82,1.2,16.42,14.36,1.14,7,0.05,0.23,0.26,0.23,0.23
162,Moreton_Bay_Mixed,R2,2,8,56.6,0.75,10.52,3.95,2.66,157.61,196.22,1.24,12.15,16.16,1.33,8,0,0.32,0.2,0.28,0.2
163,Moreton_Bay_Mixed,R2,2,8,63.84,0.75,12.16,3.51,3.46,204.18,251.36,1.23,17.8,14.12,1.26,5,0,0.14,0.32,0.13,0.41
164,Moreton_Bay_Mixed,R2,2,8,71.44,0.75,12.93,5.26,2.46,230.68,315.32,1.37,19.78,15.94,1.24,8,0,0.22,0.27,0.23,0.28
165,Moreton_Bay_Mixed,R2,2,8,66.22,0.75,12.32,4.21,2.93,214.19,270.13,1.26,18.54,14.57,1.27,8,0,0.21,0.29,0.19,0.31
