house_id,fp_seg_num,fp_perimeter_len,seg_numTOunique_lengths,fp_avg_seg_len_3long,fp_avg_seg_len_3short,ratio_3lngTO3hrt,footprint_area,boundingbox_area,bbTOfp_ratio,bb_rotation,vector,bb_0_180_axis_len,bb_90_270_axis_len,bb_lngTOshrt_ratio,house_type
53,6,50.852,1,11.607000000000001,5.343,2.1719999999999997,148.696,160.812,1.081,10.0,0.174,13.911,11.56,1.203,R2
55,10,50.88399999999999,1,10.585,1.077,9.827,145.27200000000002,163.459,1.125,-82.0,-0.99,13.177999999999999,12.404000000000002,1.062,R2
57,28,84.595,1,12.579,0.473,26.603,265.154,351.856,1.327,16.0,0.276,23.925,14.707,1.6269999999999998,R2
58,10,50.79,1,11.073,1.335,8.296,146.224,160.262,1.0959999999999999,-80.0,-0.985,13.982000000000001,11.462,1.22,R2
60,12,98.191,1,14.49,2.7110000000000003,5.345,301.546,462.91,1.535,90.0,1.0,31.619,14.64,2.16,R2
62,4,67.946,1,18.397000000000002,15.569,1.182,270.632,278.115,1.028,-26.0,-0.43799999999999994,21.358,13.022,1.64,R2
63,10,72.06,1,12.527000000000001,2.533,4.945,224.672,304.83099999999996,1.357,-54.0,-0.809,22.903000000000002,13.31,1.7209999999999999,R2
65,6,45.458999999999996,1,10.141,5.013,2.023,105.67299999999999,130.92700000000002,1.239,64.0,0.899,11.581,11.305,1.024,R2
66,6,54.196000000000005,1,12.165999999999999,5.9,2.062,165.352,183.49099999999999,1.11,-80.0,-0.985,15.210999999999999,12.062999999999999,1.261,R2
67,12,53.435,1,9.703,1.5859999999999999,6.117999999999999,132.249,167.02599999999998,1.263,64.0,0.899,13.414000000000001,12.452,1.077,R2
68,10,70.059,1,10.645999999999999,3.114,3.4189999999999996,202.889,309.52299999999997,1.526,8.0,0.139,17.82,17.37,1.026,R2
69,10,48.43600000000001,1,10.12,1.17,8.646,121.943,142.628,1.17,20.0,0.342,14.681,9.715,1.511,R2
70,16,65.072,1,9.918,0.503,19.71,194.024,252.377,1.301,10.0,0.174,20.025,12.603,1.589,R2
72,10,64.03399999999999,1,11.690999999999999,1.704,6.862,219.53799999999998,250.255,1.14,-36.0,-0.588,18.96,13.199000000000002,1.4369999999999998,R2
73,20,92.885,1,10.446,0.8809999999999999,11.862,299.452,450.00199999999995,1.5030000000000001,-60.0,-0.866,29.555,15.225999999999999,1.9409999999999998,R2
75,4,60.27,1,15.602,14.495999999999999,1.0759999999999998,224.44400000000002,231.935,1.033,10.0,0.174,16.819000000000003,13.79,1.22,R2
76,10,66.185,1,13.540999999999999,2.31,5.862,216.822,267.105,1.232,40.0,0.643,20.19,13.23,1.526,R2
77,10,64.742,1,13.555,1.135,11.940999999999999,233.90400000000002,265.78700000000003,1.136,-56.0,-0.8290000000000001,17.718,15.001,1.181,R2
78,4,51.013999999999996,1,13.495999999999999,12.008,1.124,157.69299999999998,158.63299999999998,1.006,10.0,0.174,15.005,10.572000000000001,1.419,R2
79,16,74.007,1,12.138,0.639,18.980999999999998,269.694,332.163,1.232,76.0,0.97,18.989,17.493,1.0859999999999999,R2
80,8,53.101000000000006,1,9.947000000000001,3.345,2.9730000000000003,145.438,177.324,1.219,-36.0,-0.588,14.404000000000002,12.311,1.17,R2
83,6,60.873000000000005,1,14.092,6.199,2.273,215.43200000000002,232.801,1.081,62.0,0.883,16.332,14.254000000000001,1.146,R2
84,6,55.821000000000005,1,12.567,6.04,2.081,167.821,198.84400000000002,1.185,-54.0,-0.809,14.122,14.08,1.003,R2
86,10,49.784,1,10.713,0.551,19.458,130.457,155.05100000000002,1.189,-88.0,-0.9990000000000001,14.208,10.913,1.3019999999999998,R2
87,8,42.075,1,8.945,1.3869999999999998,6.4510000000000005,101.08200000000001,111.837,1.1059999999999999,38.0,0.616,12.065,9.269,1.3019999999999998,R2
91,4,67.692,1,19.094,14.732999999999999,1.296,243.97299999999998,248.894,1.02,-80.0,-0.985,23.491,10.595,2.217,R2
93,6,66.005,1,14.967,7.034,2.128,235.78599999999997,274.719,1.165,-36.0,-0.588,17.152,16.017,1.071,R2
94,16,74.773,1,11.943,0.8690000000000001,13.75,201.106,273.52099999999996,1.36,-64.0,-0.899,24.553,11.14,2.204,R2
95,12,86.181,1,14.637,2.597,5.636,308.508,469.62,1.5219999999999998,8.0,0.139,22.525,20.848000000000003,1.08,R2
96,4,47.869,1,12.458,11.443,1.089,141.037,145.27700000000002,1.03,-28.0,-0.469,13.655,10.64,1.2830000000000001,R2
98,8,59.629,1,11.854000000000001,2.8510000000000004,4.158,194.581,226.957,1.166,46.0,0.7190000000000001,15.811,14.354000000000001,1.101,R2
100,12,82.65799999999999,1,16.219,0.752,21.557,310.784,389.57099999999997,1.254,-82.0,-0.99,25.744,15.133,1.7009999999999998,R2
101,8,97.488,1,18.899,7.468999999999999,2.53,329.67800000000005,404.45,1.227,-78.0,-0.978,26.401,15.319,1.723,R2
104,8,64.04899999999999,1,12.538,4.1739999999999995,3.0039999999999996,206.368,264.526,1.2819999999999998,52.0,0.7879999999999999,18.382,14.390999999999998,1.2770000000000001,R2
106,4,45.97,1,11.630999999999998,11.333,1.026,131.898,135.13299999999998,1.025,-68.0,-0.927,12.077,11.189,1.079,R2
107,8,61.148,1,11.543,4.402,2.622,180.886,232.018,1.2830000000000001,38.0,0.616,17.317999999999998,13.397,1.2930000000000001,R2
108,12,64.637,1,12.242,1.093,11.196,187.703,227.84799999999998,1.214,26.0,0.43799999999999994,20.239,11.258,1.798,R2
109,12,60.208,1,8.615,1.385,6.221,156.631,226.68900000000002,1.4469999999999998,-80.0,-0.985,15.373,14.745999999999999,1.042,R2
110,12,84.07600000000001,1,14.959000000000001,1.045,14.318,370.95599999999996,445.365,1.2009999999999998,-24.0,-0.40700000000000003,22.217,20.046,1.1079999999999999,R2
111,4,44.172,1,11.457,10.542,1.087,120.33,123.449,1.026,38.0,0.616,12.545,9.841000000000001,1.275,R2
113,8,61.788999999999994,1,12.949000000000002,2.369,5.4670000000000005,225.94799999999998,241.247,1.068,76.0,0.97,15.95,15.125,1.055,R2
115,16,74.179,1,11.542,0.982,11.752,239.834,278.805,1.162,-82.0,-0.99,17.375,16.047,1.083,R2
116,10,56.50899999999999,1,11.732000000000001,1.7309999999999999,6.779,165.385,198.592,1.2009999999999998,-78.0,-0.978,16.408,12.103,1.3559999999999999,R2
117,14,70.015,1,8.475,1.038,8.163,205.13299999999998,302.502,1.475,-80.0,-0.985,19.85,15.239,1.3030000000000002,R2
118,14,73.431,1,12.633,0.726,17.405,270.582,325.70799999999997,1.204,-2.0,-0.035,21.713,15.001,1.4469999999999998,R2
119,4,39.89,1,10.805,9.176,1.177,93.741,96.346,1.028,8.0,0.139,12.405,7.767,1.597,R2
120,10,51.153999999999996,1,9.277000000000001,1.156,8.025,135.13299999999998,152.844,1.131,-68.0,-0.927,16.369,9.337,1.7530000000000001,R2
121,14,63.70399999999999,1,8.575,1.217,7.045,211.419,256.598,1.214,10.0,0.174,16.430999999999997,15.616,1.052,R2
122,12,59.117,1,8.897,1.8,4.9430000000000005,162.484,219.138,1.349,-82.0,-0.99,16.522000000000002,13.263,1.246,R2
123,4,44.897,1,11.805,10.637,1.11,122.948,126.61,1.03,38.0,0.616,13.112,9.656,1.358,R2
124,12,53.731,1,8.832,0.851,10.382,154.66899999999998,181.78799999999998,1.175,-66.0,-0.914,14.690999999999999,12.374,1.187,R2
126,6,58.723,1,13.385,6.189,2.1630000000000003,137.953,192.36599999999999,1.3940000000000001,34.0,0.5589999999999999,20.235,9.507,2.128,R2
127,8,62.72,1,13.460999999999999,2.128,6.325,233.513,250.832,1.074,46.0,0.7190000000000001,16.093,15.587,1.032,R2
129,10,42.293,1,7.776,1.199,6.483,94.99600000000001,110.59700000000001,1.1640000000000001,-70.0,-0.94,12.165,9.091000000000001,1.338,R2
130,20,97.321,1,11.709000000000001,0.7190000000000001,16.282,333.02,418.98,1.258,-82.0,-0.99,32.621,12.844000000000001,2.54,R2
131,10,45.031000000000006,1,8.84,0.547,16.155,104.462,122.552,1.173,-88.0,-0.9990000000000001,13.345,9.183,1.453,R2
132,8,54.251999999999995,1,11.137,2.674,4.165,164.28099999999998,187.46400000000003,1.141,-24.0,-0.40700000000000003,15.142999999999999,12.38,1.2229999999999999,R2
133,6,66.635,1,16.087,6.124,2.627,258.097,276.871,1.073,80.0,0.985,16.787,16.493,1.018,R2
134,14,83.166,1,12.571,0.925,13.585999999999999,263.73900000000003,422.035,1.6,-26.0,-0.43799999999999994,25.058000000000003,16.842,1.4880000000000002,R2
136,12,55.391000000000005,1,8.45,0.991,8.524,137.071,190.28599999999997,1.3880000000000001,-86.0,-0.998,15.275,12.458,1.226,R2
137,8,61.38,1,13.394,2.35,5.6979999999999995,218.063,238.88,1.095,10.0,0.174,17.175,13.909,1.235,R2
138,4,38.799,1,9.91,9.477,1.046,93.686,94.454,1.008,-52.0,-0.7879999999999999,10.369000000000002,9.109,1.138,R2
139,4,39.461,1,10.668,9.054,1.178,91.52,94.66799999999999,1.034,20.0,0.342,12.367,7.655,1.6159999999999999,R2
140,6,51.673,1,11.682,5.542999999999999,2.108,146.92600000000002,167.812,1.1420000000000001,-32.0,-0.53,14.529000000000002,11.55,1.258,R2
141,4,49.537,1,12.877,11.876,1.084,151.187,152.963,1.012,-52.0,-0.7879999999999999,13.908,10.998,1.265,R2
142,4,77.652,1,19.994,18.855999999999998,1.06,374.074,376.05,1.005,-10.0,-0.174,21.105,17.817999999999998,1.1840000000000002,R2
143,10,56.336999999999996,1,9.832,1.811,5.428,168.188,199.31099999999998,1.185,-82.0,-0.99,15.148,13.158,1.151,R2
144,12,58.875,1,7.542000000000001,0.593,12.712,183.585,268.411,1.462,-78.0,-0.978,19.506,13.761,1.4180000000000001,R2
145,10,56.693000000000005,1,11.513,2.089,5.511,167.392,202.71099999999998,1.2109999999999999,6.0,0.105,16.082,12.605,1.276,R2
146,14,59.53,1,10.942,0.309,35.425,190.158,224.97799999999998,1.183,-74.0,-0.961,15.774000000000001,14.262,1.1059999999999999,R2
148,12,65.725,1,11.722000000000001,0.501,23.408,218.30200000000002,272.498,1.248,8.0,0.139,17.602,15.481,1.137,R2
149,4,44.91,1,12.019,10.467,1.148,120.854,122.324,1.012,6.0,0.105,13.53,9.041,1.496,R2
150,18,60.976000000000006,1,7.529,0.439,17.133,138.305,173.176,1.252,22.0,0.375,15.665999999999999,11.054,1.4169999999999998,R2
151,6,61.065,1,13.874,6.481,2.141,178.268,234.627,1.3159999999999998,-82.0,-0.99,16.862000000000002,13.914000000000001,1.212,R2
153,8,50.576,1,9.081,3.304,2.748,134.642,164.06400000000002,1.219,-70.0,-0.94,13.535,12.122,1.117,R2
154,8,57.082,1,12.21,3.0010000000000003,4.069,177.82299999999998,204.40400000000002,1.149,10.0,0.174,16.3,12.54,1.3,R2
156,10,61.663999999999994,1,10.706,2.6039999999999996,4.112,167.83,235.15400000000002,1.401,66.0,0.914,17.439,13.484000000000002,1.2930000000000001,R2
157,10,63.547,1,11.043,2.155,5.125,197.7,247.86700000000002,1.254,62.0,0.883,18.889,13.122,1.439,R2
158,4,84.01100000000001,1,23.590999999999998,18.399,1.2819999999999998,380.796,388.288,1.02,-82.0,-0.99,28.904,13.434000000000001,2.1519999999999997,R2
159,14,82.919,1,16.204,0.961,16.858,290.39599999999996,376.68,1.297,18.0,0.309,28.573,13.183,2.167,R2
